subjectate,subject,relation,object
1783-01-31,394,120,326
1782-10-15,394,115,329
1783-05-06,394,115,395
1782-07-20,394,115,397
1783-05-06,396,12,36
1783-06-20,397,7,395
1781-09-22,399,12,398
1760,400,12,399
1753-05-17,400,12,398
1772-08-04,401,12,399
1773-11-15,401,12,400
1773-11-15,402,1,398
1773-08-07,403,1,398
1773-08-07,403,8,399
1751-09-11,403,8,400
1752-09-25,403,8,402
1797-05-29,403,8,401
1771-08-05,404,1,167
1771-07-24,407,12,136
1771-07-24,408,7,407
1771-10-14,409,13,408
1773-07-16,409,7,407
1773-07-16,420,8,418
1783-08-10,421,7,418
1791-01-23,422,8,421
1789-10-18,422,8,418
1789-07-17,423,27,422
1789-06-14,424,7,423
1789-06-14,424,27,422
1789-06-14,425,1,422
1817-11-04,426,27,425
1817-09-20,428,12,2
1817-08-14,428,50,433
1817-09-21,429,12,2
1817-09-21,430,1,428
1817-11-29,430,1,429
1817-11-29,431,1,430
1817-09-25,431,1,428
1817-09-25,432,1,2
1817-09-25,433,12,2
1817-09-25,433,1,429
1819-08-21,436,12,2
1816-05-15,438,12,437
1815-09-06,443,1,442
1817-11-08,444,10,443
1817-11-08,445,75,443
1820-08-22,446,1,443
1816-06-07,446,27,445
1816-05-11,447,1,446
1816-05-11,447,1,445
1816-04-05,449,1,448
1818-08-21,451,1,450
1817-11-05,452,1,410
1819-02-12,454,8,453
1820-06-19,455,8,454
1820-06-01,455,8,453
1820-06-01,456,12,455
1820-07-08,457,1,443
1820-07-08,457,1,447
1815-12-26,461,7,460
1820-01-26,462,1,253
1817-05-14,463,1,462
1815-12-26,464,1,462
1820-01-26,465,1,462
1820-01-26,465,1,463
1815-12-26,465,1,464
1820-01-26,470,1,344
1820-01-26,470,12,55
1815-12-26,471,27,55
1820-01-26,472,12,55
1815-12-26,473,12,55
1815-12-26,473,12,472
1820-01-26,476,1,475
1820-06-14,476,12,55
1820-06-14,476,12,472
1820-06-14,476,12,471
1820-06-06,478,12,55
1820-03-11,484,12,483
1820-05-11,485,1,483
1820-04-15,488,12,6
1820-07-01,488,12,53
1821-01-23,496,12,486
1820-08-23,497,12,483
1821-01-22,498,12,483
1820-08-24,499,1,483
1821-01-24,500,126,483
1819-11-09,503,1,116
1820-05-29,505,12,55
1819-03-02,508,12,488
1818-12-03,510,12,486
1818-12-03,511,12,486
1817-11-21,512,12,486
1765-05-28,514,12,486
1765-05-28,514,12,510
1765-05-24,515,12,471
1765-05-24,515,12,472
1765-05-24,515,12,55
1765-07-13,515,12,487
1765-07-13,515,12,483
1765-07-13,517,12,486
1765-07-13,517,125,516
1765-06-28,521,12,486
1765-06-29,522,1,519
1765-08-01,524,1,490
1765-08-01,526,8,490
1765-08-01,527,1,490
1765-08-01,528,8,495
1765-08-01,529,1,490
1765-08-22,532,10,486
1765-09-19,535,12,53
1765-09-19,541,1,540
1765-09-19,541,12,55
1765-09-19,542,1,540
1765-09-18,545,1,544
1765-09-20,545,1,543
1765-08-04,546,1,545
1765-09-20,546,1,544
1765-10-28,546,1,543
1765-10-28,547,1,544
1765-10-28,547,1,543
1797-07-21,547,1,545
1766-09-20,547,1,546
1766-10-05,548,125,543
1766-09-20,549,1,547
1766-10-05,549,1,543
1768-07-29,549,1,544
1787-03-15,549,1,545
1773-11-02,549,1,546
1773-11-02,550,1,549
1773-11-02,553,1,551
1770-10-04,554,1,551
1770-10-04,554,1,553
1770-10-04,555,1,553
1770-10-04,556,1,553
1817-08-01,557,8,556
1818-01-26,558,1,554
1817-07-10,560,14,558
1818-07-16,561,14,560
1747-08-08,561,14,558
1752-12-12,565,14,564
1816-08-15,567,12,398
1816-12-05,567,12,403
1748-05-20,568,27,409
1783,569,1,409
1783,570,1,409
1783,570,1,569
1783,570,1,568
1784-01-16,571,1,570
